Date,Open,High,Low,Close,Adj Close,Volume
2015-03-27,123.882896,124.591141,122.695839,123.882896,123.882896,152594
2015-03-30,121.698311,123.583633,120.202019,121.698311,121.698311,261806
2015-03-31,122.187096,122.596085,120.311745,122.187096,122.187096,99920
2015-04-01,121.728233,122.695839,121.409027,121.728233,121.728233,70100
2015-04-02,121.319252,122.685860,121.299301,121.319252,121.319252,112464
2015-04-07,119.803009,121.688332,119.803009,119.803009,119.803009,133070
2015-04-08,120.291794,120.990067,119.703255,120.291794,120.291794,66673
2015-04-09,121.069870,121.698311,119.723206,121.069870,121.069870,172278
2015-04-10,121.099792,121.249420,120.311745,121.099792,121.099792,139279
2015-04-13,120.601028,121.089821,119.803009,120.601028,120.601028,97779
2015-04-14,121.069870,121.339203,119.803009,121.069870,121.069870,127211
2015-04-15,124.780670,125.688416,120.660881,124.780670,124.780670,494973
2015-04-16,123.593613,125.997650,123.005074,123.593613,123.593613,218236
2015-04-17,123.194603,123.693367,120.810509,123.194603,123.194603,129122
2015-04-20,122.097321,123.483887,121.219498,122.097321,122.097321,96846
2015-04-21,121.867889,122.486359,121.329224,121.867889,121.867889,100629
2015-04-22,120.700783,121.887840,119.713226,120.700783,120.700783,200566
2015-04-23,120.381577,121.199547,119.822960,120.381577,120.381577,117039
2015-04-24,100.750237,120.501274,100.750237,100.750237,100.750237,833113
2015-04-27,103.742821,103.742821,95.782555,103.742821,103.742821,1181210
2015-04-28,105.927406,108.231689,101.548264,105.927406,105.927406,588475
2015-04-29,102.136803,106.236641,101.249001,102.136803,102.136803,209222
2015-04-30,102.116852,103.234085,100.750237,102.116852,102.116852,158403
2015-05-04,99.842491,103.742821,98.755188,99.842491,99.842491,175157
2015-05-05,99.732765,100.570686,98.934738,99.732765,99.732765,177350
2015-05-06,94.006958,99.293854,91.772491,94.006958,94.006958,428249
2015-05-07,91.164001,92.770020,88.620308,91.164001,91.164001,360322
2015-05-08,84.031685,92.750069,83.024185,84.031685,84.031685,1145586
2015-05-11,74.315773,85.787331,74.315773,74.315773,74.315773,1370825
2015-05-12,81.298462,82.784775,73.817009,81.298462,81.298462,826814
2015-05-13,89.577934,91.872246,81.298462,89.577934,89.577934,751947
2015-05-14,88.929543,91.752548,88.081642,88.929543,88.929543,398369
2015-05-15,87.183868,88.929543,85.587830,87.183868,87.183868,273564
2015-05-18,85.039185,87.772415,84.291039,85.039185,85.039185,296818
2015-05-19,85.777359,86.475624,83.842155,85.777359,85.777359,215466
2015-05-20,85.577850,85.787331,84.989311,85.577850,85.577850,121119
2015-05-21,85.557899,86.076614,84.580322,85.557899,85.557899,198616
2015-05-22,90.715118,92.261284,85.368370,90.715118,90.715118,427822
2015-05-25,90.076698,91.772491,89.478180,90.076698,90.076698,394706
2015-05-26,89.268700,90.675217,88.191376,89.268700,89.268700,187914
2015-05-27,88.111572,89.268700,87.493103,88.111572,88.111572,213686
2015-05-28,85.986839,88.720062,84.789803,85.986839,85.986839,453070
2015-05-29,84.999283,85.498047,84.540421,84.999283,84.999283,240665
2015-06-01,82.575294,84.999283,81.797226,82.575294,82.575294,359198
2015-06-02,84.091537,84.759880,82.295990,84.091537,84.091537,226334
2015-06-03,83.173813,85.059135,82.784775,83.173813,83.173813,215883
2015-06-04,79.393181,82.685020,78.804642,79.393181,79.393181,365223
2015-06-05,78.305878,79.303406,77.308350,78.305878,78.305878,239924
2015-06-08,79.502914,79.682465,77.727310,79.502914,79.502914,198777
2015-06-09,77.068947,79.123848,76.620056,77.068947,77.068947,218787
2015-06-10,77.298378,78.285927,76.620056,77.298378,77.298378,159507
2015-06-11,77.707359,77.807114,77.118820,77.707359,77.707359,84798
2015-06-12,79.772247,79.772247,77.707359,79.772247,79.772247,155534
2015-06-15,78.545288,79.303406,77.617584,78.545288,78.545288,118282
2015-06-16,77.986671,78.545288,77.807114,77.986671,77.986671,135487
